Wavelength (nm),CD (mdeg),1,2,3,Label
206.6,-63.6134,1.00425,341.736,-0.00012688,PDN15
206.4,-62.1993,1.0193,343.627,-0.000144543,PDN15
206.2,-60.7883,1.03659,345.809,-0.000152984,PDN15
206,-58.999,1.05654,348.336,-0.00014987,PDN15
205.8,-57.2534,1.07668,350.928,-0.00018699,PDN15
205.6,-55.4878,1.09267,353.04,-0.000195821,PDN15
205.4,-53.7691,1.10934,355.236,-0.000212664,PDN15
205.2,-51.6781,1.12659,357.514,-0.000209435,PDN15
205,-49.2365,1.14641,360.164,-0.000213726,PDN15
204.8,-47.4068,1.16483,362.638,-0.000223748,PDN15
204.6,-45.3851,1.18081,364.829,-0.000252044,PDN15
204.4,-43.0461,1.19982,367.399,-0.000257046,PDN15
204.2,-40.4771,1.21915,370.054,-0.000250471,PDN15
204,-38.3064,1.23679,372.463,-0.000265772,PDN15
203.8,-35.4551,1.25729,375.29,-0.000306798,PDN15
203.6,-32.7721,1.28077,378.575,-0.000352729,PDN15
203.4,-29.669,1.30461,381.964,-0.000399115,PDN15
203.2,-26.1421,1.32905,385.488,-0.00042796,PDN15
203,-23.1934,1.35142,388.739,-0.000434961,PDN15
202.8,-20.3962,1.3713,391.673,-0.000477475,PDN15
202.6,-17.3128,1.39427,395.096,-0.000507172,PDN15
202.4,-13.6905,1.41817,398.662,-0.000546887,PDN15
202.2,-10.6766,1.43902,401.848,-0.000576887,PDN15
202,-6.9858,1.46322,405.569,-0.000635852,PDN15
201.8,-3.35441,1.48835,409.444,-0.00066898,PDN15
201.6,0.84811,1.51692,413.961,-0.000714766,PDN15
201.4,4.37653,1.54363,418.134,-0.000762016,PDN15
201.2,9.42865,1.57426,422.996,-0.000800914,PDN15
201,14.2486,1.60565,428.072,-0.000895625,PDN15
200.8,17.9973,1.63372,432.708,-0.000956732,PDN15
200.6,22.1687,1.66275,437.537,-0.00103302,PDN15
200.4,26.1871,1.68867,441.889,-0.00107937,PDN15
200.2,30.1284,1.71481,446.344,-0.00116749,PDN15
200,34.7108,1.74553,451.546,-0.00128692,PDN15
